,energy of p orbital of B (eV),energy of p orbital of O (eV),radius of s orbital of A (A),van der Waals radius of A (A),work function (eV)
816,2.9598228075099997,-1.80444703498,0.88,2.17,5.1259641076
817,2.9598228075099997,-1.80444703498,0.88,2.17,5.1259641076
819,3.19154878201,-2.02129007684,0.88,2.17,4.753251884569999
821,5.82316156132,-1.03419765471,0.88,2.17,6.075071229140001
823,5.84535303393,-0.679021721212,0.88,2.17,6.606099222389999
825,-53.5849275197,-2.9543875278900003,0.88,2.17,4.590597194090001
827,7.730368337839999,-1.41065071217,0.88,2.17,5.56287349187
829,-48.8298075593,-3.2264620607300003,0.88,2.17,4.2281781584900004
831,-39.6792417307,-4.75155223229,0.88,2.17,3.39804268751
833,-43.208234041800004,-4.58667445866,0.88,2.17,3.16410231825
835,-44.1430245301,-3.46392103161,0.88,2.17,3.7513676640199995
837,-35.90859449,-4.58281096483,0.96,2.02,3.41371724666
839,6.1342288923899995,-2.3030249107799996,0.92,2.07,3.27110980199
841,-48.501017463800004,-3.90157053239,0.92,2.07,3.38434530082
843,-32.1466722598,-4.19604412209,0.96,2.02,2.87490304043
845,-43.10166338689999,-4.54469445668,0.92,2.07,4.7613099381
847,-39.317049612800005,-3.4500336061400003,0.96,2.02,2.76250521152
850,-24.4634441043,-0.48355252255500003,0.96,2.02,6.118852904580001
852,-28.485271687399997,-1.22835574158,0.96,2.02,4.2007387484
855,-36.325249325,-3.1722927252999997,1.015,1.96,3.21841214111
857,-35.0651034078,-2.38555625134,1.015,1.96,4.751839416469999
859,-24.5526252286,-0.581577619621,1.015,1.96,6.75660754015
861,1.5237056881400002,-2.68291897488,0.94,1.93,4.1535780764
864,5.3556143166900005,-0.798639397526,0.94,1.93,6.63810860644
865,5.3556143166900005,-0.798639397526,0.94,1.93,6.63810860644
867,2.76811357241,-2.9030142473000002,0.94,1.93,4.397441161880001
869,3.93272864702,-1.95155235526,0.94,1.93,4.55553364736
871,-39.0229325207,-2.43113901811,1.015,1.96,3.96445377964
873,-31.820973248,-2.38487316812,1.015,1.96,4.7320071408899995
875,-24.450277190100003,-0.668017628332,1.015,1.96,5.76822938579
877,-27.994980488000003,-0.672549321253,1.015,1.96,5.711129989090001
879,-32.7003832649,-1.5855281580200002,1.015,1.96,5.09073544455
881,6.4705620349599995,-0.961867761086,0.94,1.93,5.95436341805
883,8.45050296087,-1.12869349936,0.94,1.93,5.35473975233
885,-53.619517742,-2.9271967780000003,0.94,1.93,4.66645714868
887,-35.9800011722,-4.36424031898,0.83,2.06,5.0012931495899995
890,-32.2109246366,-4.08211032454,0.83,2.06,5.04810557122
892,-34.2962263106,-3.87878595192,0.83,2.06,4.89513179738
894,-30.1584062211,-3.2627829293,0.83,2.06,5.10451654575
896,-26.522916702600003,-3.0151755880799995,0.83,2.06,4.949909810249999
898,-24.4070133024,-0.970345988954,0.83,2.06,5.46492917293
900,0.308052310761,-3.5870152359800005,0.92,2.07,4.944964726519999
902,4.51255547548,-1.40040382982,0.92,2.07,5.0015532598900005
904,1.8331473204799997,-3.3896973277099995,0.92,2.07,4.7096192388
906,0.957638580199,-4.08083371611,0.92,2.07,4.63152123212
908,0.435880637414,-3.4759275926899997,0.96,2.02,3.1265752792400003
910,4.43993320874,-1.8454478386099997,0.92,2.07,3.5984728402800004
911,4.52348815149,-0.9228389618170001,0.96,2.02,4.9235602967
914,6.038389013280001,-0.573583721233,0.96,2.02,5.986943305
916,3.8514031336000003,-1.28346843874,0.96,2.02,4.361545627869999
918,6.23302451931,-0.652892782142,0.96,2.02,5.76033934648
920,-53.6479954457,-2.6132770295900003,0.96,2.02,3.92429422797
922,7.8946501294199996,-0.851302208668,0.96,2.02,5.33501397587
924,-48.8754316362,-2.9532848849799995,0.96,2.02,3.51890738829
926,-43.2024645176,-4.54020190378,0.96,2.02,2.64326467557
928,-36.2257762983,-4.23525342426,0.96,2.02,2.65821019904
930,-39.6807754173,-4.74707771481,0.96,2.02,3.26024737797
932,-44.1774383817,-3.2751497159900005,0.96,2.02,3.04319581722
934,-53.294461228,-3.5101237571599997,0.92,2.07,3.40596586327
937,-43.8776036445,-4.152290805290001,0.92,2.07,3.4547287455199998
939,-36.2212427038,-4.333553049780001,0.92,2.07,3.2561366508200003
941,-32.2102940618,-4.18015514042,0.92,2.07,4.704323637130001
943,-35.9907092853,-4.47936362278,0.92,2.07,4.603746897430001
945,-39.1510215427,-4.25661301414,0.92,2.07,3.66774361579
948,-0.241254219095,-3.60969287819,0.83,2.06,5.26636153861
949,-0.241254219095,-3.60969287819,0.83,2.06,5.26636153861
951,-26.9113887854,-3.2676112160799997,0.92,2.07,4.73667683735
953,-24.9489455389,-1.3574464777500002,0.92,2.07,4.49584739905
955,-34.2927981154,-3.97117074208,0.92,2.07,4.50200521945
957,-30.5624371694,-3.3809930178400003,0.92,2.07,4.685210241469999
959,1.68923988884,-3.3536496669200004,0.83,2.06,5.05846698214
961,3.7283153638,-1.49777912449,0.83,2.06,6.003119981819999
963,0.8583739846940001,-4.034115621640001,0.83,2.06,4.885124310859999
965,-53.3236765678,-3.65373200565,0.83,2.06,4.19589831414
967,3.7687408792,-1.7745244714200001,0.83,2.06,4.46372549675
969,6.795955928180001,-1.7687076527599999,0.83,2.06,3.85083995005
971,-43.1407579241,-4.50240166406,0.83,2.06,3.11884984584
973,-48.52918140479999,-3.9763721603900004,0.83,2.06,4.0570778231
976,-39.1998529453,-4.22875935744,0.83,2.06,3.9402883009900003
978,-43.9205631422,-4.17349158604,0.83,2.06,3.9690245656300003
