,energy of p orbital of B (eV),energy of p orbital of O (eV),radius of s orbital of A (A),van der Waals radius of A (A),work function (eV)
184,4.01642906232,-0.883821232385,1.515,2.68,3.69986467089
186,0.316275401073,-3.19547724884,1.515,2.68,1.6681274288799999
188,-39.4307198817,-5.7430131487,1.32,0.0,2.69322816204
190,-48.517368892,-4.28144724042,1.32,0.0,2.4190946582099997
192,-42.8850405753,-5.46234645726,1.32,0.0,2.9867725481700003
194,-53.359110971499994,-3.6968120192300002,1.32,0.0,2.6430301117200004
195,6.45077625406,-2.20655429248,1.32,0.0,2.62942016573
197,3.3299953315499997,-3.1300727340599996,1.32,0.0,2.4933529520900004
199,3.15628967735,-2.3837661417700002,1.32,0.0,3.22358833602
201,0.355019243293,-5.22180394859,1.32,0.0,2.5624487759
203,0.526002917518,-4.85761582852,1.32,0.0,2.9203962369
205,-0.10693031009199999,-4.18519930941,1.32,0.0,2.77439892212
207,-24.1302532163,-0.45980330751299997,0.985,1.82,7.83759855477
209,-31.5346537173,-1.03999917741,0.985,1.82,7.60907287244
211,-23.8541956946,-0.47661590522799996,0.985,1.82,7.8700419663600005
213,-27.336977985900003,-0.449316426333,0.985,1.82,7.87464693657
215,-38.5838657116,-1.9081297257099998,0.985,1.82,6.60247017612
217,-30.924322988000004,-2.10077152374,0.985,1.82,7.242803565499999
219,-34.8632042868,-2.9080454758,0.985,1.82,7.0655436530600015
221,-44.2909646035,-2.67716075756,0.985,1.82,5.41768622704
223,4.82357946382,-0.901088629032,1.54,2.75,3.99132920427
225,5.12043983192,-0.651858539594,1.54,2.75,4.8981384534300005
227,2.9963781147099997,-1.30101568911,1.54,2.75,4.379670748000001
229,-24.8457376554,-0.430848657014,1.67,3.03,4.65866663246
231,-32.05967285,-0.8823456682619999,1.67,3.03,3.7353964026899997
233,-36.2654796435,-3.60998735069,0.985,1.82,4.83073137084
235,-39.7043070466,-4.321988435980001,0.985,1.82,4.25253589539
237,-49.377937074799995,-2.63575291624,0.985,1.82,5.683085588940001
239,-43.6831403033,-4.46995389721,0.985,1.82,4.18021427281
241,-54.3913860096,-2.41134110568,0.985,1.82,6.18199699847
243,9.081650818650001,-0.732450021602,0.985,1.82,7.3818724176
245,7.555047974960001,-0.593873870011,0.985,1.82,7.444143841919999
247,-53.95036839310001,-2.96625709991,1.32,2.31,3.6170805162699997
249,7.4794331980600015,-0.873722005951,1.32,2.31,4.97477910983
251,5.7280356026,-0.840624322797,1.32,2.31,5.33323056222
253,5.15241130634,-0.802353659939,1.32,2.31,5.55528537159
255,3.8798763306199997,-1.56252141316,1.32,2.31,4.13635897356
258,-0.09496356888319998,-4.02398501302,1.32,2.31,2.618799257
260,-24.3907778813,-0.63343721718,1.42,2.49,4.907758649040001
262,-32.8895974808,-2.08843857407,1.42,2.49,3.47931985579
265,-28.696694837600003,-1.7575554189400002,1.42,2.49,3.3939876774699997
267,-39.285389368400004,-3.7236698360000005,1.42,2.49,1.70645562724
269,-32.2470812914,-4.73543106749,1.42,2.49,1.5882650349599998
271,-35.932816766900004,-5.383893684689999,1.42,2.49,2.31035348909
273,-44.2621924607,-3.57163879362,1.42,2.49,2.0059113422
275,-36.311315643600004,-4.65845681266,1.42,2.49,1.40412526665
277,-39.710425568299996,-5.39290991392,1.42,2.49,1.8536307185499998
279,-49.0040274755,-3.14669817597,1.42,2.49,2.4435118526400004
281,-43.267471381499995,-5.0217151071099995,1.42,2.49,1.4127372728100003
283,-53.8875745651,-2.7096239602599996,1.42,2.49,2.82972840379
285,7.13981517595,-0.726353031602,1.42,2.49,4.11508684098
287,5.91756561502,-0.66764259021,1.42,2.49,4.5286836732
289,5.39806097761,-0.670797218347,1.42,2.49,4.88086686893
291,3.8458292721199996,-1.3341192092,1.42,2.49,3.32216472663
293,3.5748541558899998,-1.59075078551,1.42,2.49,4.45315495641
295,-43.7791520192,-4.68804838498,1.32,0.0,2.3455261711
297,-39.2541000583,-3.9690015472099995,1.32,2.31,2.42799474282
299,-32.2152616196,-4.91364307821,1.32,2.31,1.79827569732
301,-35.8748858993,-5.65931338428,1.32,2.31,2.01494482341
303,-44.2808114929,-3.8396823172800003,1.32,2.31,2.75160256076
305,-36.3159974185,-4.882961845680001,1.32,2.31,2.12207693353
307,-35.9651121541,-5.18790864861,1.32,0.0,2.7651741094
309,-36.2476238375,-4.6211267629699995,0.9,1.73,3.72532405261
311,-39.6280113783,-5.0680277257199995,0.9,1.73,4.1611728275
313,-49.0594069813,-3.5443198169800003,0.9,1.73,4.61006916922
315,-43.278321910600006,-4.943586214,0.9,1.73,3.78198773861
317,-53.9630829303,-3.0686797110299997,0.9,1.73,5.03117141897
319,7.84665826077,-1.06693643117,0.9,1.73,6.4807179723
321,5.84307308856,-0.961631601819,0.9,1.73,6.724264129730001
323,5.33604160339,-0.872825504626,0.9,1.73,6.7210016479400005
325,-0.0400262820459,-4.04255891098,0.9,1.73,4.28733095934
327,-24.1573043043,-0.712875062199,1.32,2.31,5.67261349966
329,-32.0731791502,-1.5585967853,1.32,2.31,4.250275792159999
330,-26.5931418788,-3.49893688386,1.32,2.31,4.23186695367
332,-28.0155275107,-1.5377446852599999,1.32,2.31,3.12689743862
334,-39.7110210481,-5.62449236883,1.32,2.31,1.77554308279
336,-49.044201844300005,-3.4030277784900003,1.32,2.31,3.2343267908
338,-43.2808153283,-5.27218621167,1.32,2.31,2.1924605224700002
340,-39.4034555948,-6.4415699450699995,1.375,0.0,1.8880567836099997
341,-10.6915504124,-5.632160094369999,1.375,0.0,2.28200690571
344,-10.5913870131,-5.49190985401,1.375,0.0,2.20492770845
346,-8.707017576930001,-4.954552006519999,1.375,0.0,1.8050875544
348,-23.983039403400003,-0.735787425404,0.9,1.73,6.909967283019999
350,-32.3284528486,-1.9634880307700002,0.9,1.73,5.53766119349
354,-39.2117667804,-4.079210172869999,0.9,1.73,3.75887543081
356,-32.140406069,-4.426949054830001,0.9,1.73,3.58736212645
358,-35.919375507,-4.84050318708,0.9,1.73,3.8603088742900002
360,-44.2467791683,-3.9506126413,0.9,1.73,4.0981016306699996
362,-25.4165405365,-2.18610869199,1.32,0.0,2.77891821875
364,-34.0254300883,-4.89594101736,1.32,0.0,2.3416283072999997
366,-27.4839856309,-4.93562039742,1.32,0.0,2.9786825008999998
368,-31.4058083329,-5.28376151917,1.32,0.0,2.82673620916
370,-48.5140580091,-4.53087299498,1.375,0.0,1.6973609454299998
372,-42.8490053398,-6.1864701814,1.375,0.0,1.92910804282
374,-53.3440354122,-3.9866090121699993,1.375,0.0,1.97875263065
376,3.4348456598799997,-2.46563107167,1.375,0.0,2.54669837321
378,-10.5436411619,-2.8280054731299997,1.375,0.0,2.34901324639
380,-11.400887965499999,-3.39295185879,1.375,0.0,2.1814257425599997
382,-38.987839503400004,-4.98614271928,1.32,0.0,2.34380339452
384,-31.987031094099997,-5.22899353048,1.32,0.0,2.78583509712
386,-35.6751668535,-5.74611169425,1.32,0.0,2.7094153547900004
388,-28.879107725,-2.89160216615,1.07,0.0,9.74538877267
390,-39.0954028794,-4.1337480785,1.07,0.0,6.154149125
392,-31.969740577899998,-4.3477049162400005,1.07,0.0,6.541878560980001
394,-35.5955752526,-4.85833398251,1.07,0.0,7.012196459610001
397,-43.6961649404,-4.2211050678,1.07,0.0,5.53076698474
398,-43.6961649404,-4.2211050678,1.07,0.0,5.53076698474
400,-36.2508937887,-4.5263025928400005,1.07,0.0,5.29859466411
402,-39.682694374499995,-5.23373494659,1.07,0.0,5.2893321131999995
404,-48.7439119907,-4.22038525456,1.07,0.0,6.13342595517
406,-43.363284865,-5.12023155688,1.07,0.0,4.810009642840001
408,-53.7268492472,-4.10065617152,1.07,0.0,6.54502170076
410,6.366631057309999,-2.48831846995,1.07,0.0,6.61885327383
412,2.73418665631,-2.38170310256,1.07,0.0,7.07846269454
414,3.41849999922,-1.65318211295,1.07,0.0,9.090433638139999
416,0.026153778821200003,-4.33213974694,1.07,0.0,5.961668356490001
418,1.4878395381600003,-3.17406558709,1.07,0.0,9.08165877269
420,-0.339147572145,-4.2132115602499995,1.07,0.0,8.18366889688
422,-25.188678417,-2.29623899298,1.375,0.0,1.97297110693
424,-34.0386744332,-5.5010176224,1.375,0.0,2.0057097671400004
426,-27.427243108699997,-5.578906034,1.375,0.0,1.9673766017099998
428,-31.388309629400002,-5.91142879699,1.375,0.0,2.1091581723
430,-39.0255944077,-5.52331920929,1.375,0.0,1.76604352498
432,-32.0043710487,-5.927602801310001,1.375,0.0,1.8950657342
434,-35.6224654874,-6.32713525109,1.375,0.0,2.11436425087
436,-43.8076705361,-5.03169124598,1.375,0.0,1.63308834866
438,-35.9825860607,-5.89850112656,1.375,0.0,1.8403854200599998
440,-24.5507244294,-1.9404388909,1.09,0.0,7.6754706292999995
442,-33.5826128613,-3.7829889918300004,1.09,0.0,8.038723979630001
444,-25.8099811059,-3.2386867025800004,1.09,0.0,9.25385731296
446,-29.4081281221,-3.4159814292400004,1.09,0.0,9.76570994575
449,-38.9954209465,-4.3708360837999995,1.09,0.0,6.02020076158
450,-38.9954209465,-4.3708360837999995,1.09,0.0,6.02020076158
452,-32.0079266318,-4.61268051369,1.09,0.0,6.327085830540001
454,-35.641766683600004,-5.1216290638699995,1.09,0.0,6.685908371669999
456,-43.993573908,-4.4253537316600005,1.09,0.0,5.36005980868
458,-36.2115690308,-4.7041678473,1.09,0.0,4.967383665340001
460,-39.6330227048,-5.42179128173,1.09,0.0,5.22430565104
462,-48.6798336139,-4.3840683808,1.09,0.0,5.74899179381
464,-43.2784840177,-5.22441015945,1.09,0.0,5.06736942251
466,-53.649750126099995,-4.2871591963,1.09,0.0,6.02963209216
468,5.9382836839,-2.8275376685,1.09,0.0,5.914765034759999
470,2.33600765277,-2.68678398959,1.09,0.0,6.44861071488
472,3.18361292144,-1.7865352917299997,1.09,0.0,9.07295458398
474,-0.29706121839099997,-4.706058640319999,1.09,0.0,5.05722848622
477,-0.157500573833,-4.26669170425,1.09,0.0,8.15971966563
479,-24.328099551799998,-1.7042589262399999,1.07,0.0,9.55400313992
481,-33.3207667147,-3.37976567103,1.07,0.0,8.33714973827
483,-25.3078280127,-2.74037257712,1.07,0.0,9.556029436000001
485,-44.2007555321,-3.5998256579400003,0.82,1.39,5.03859584109
487,-35.662054392399995,-4.15529764267,0.82,1.39,4.90800333476
489,-39.1913985894,-3.5946070641000003,0.82,1.39,4.85210458047
491,-32.0465632355,-3.79477824416,0.82,1.39,4.94935386258
493,-27.6680641022,-1.44812573929,0.82,1.39,7.5534161117
495,-24.1785984472,-1.38347008568,0.82,1.39,7.619123040439999
497,-32.0681536849,-1.8091209139700002,0.82,1.39,6.55118634587
499,-24.0884283881,-1.06548550936,0.82,1.39,7.6327065744
501,2.29672634759,-1.8044910354799997,1.045,1.72,6.022908644119999
503,3.5358767668,-1.21417441981,1.045,1.72,6.87033567496
505,4.88237112264,-0.8470794487729999,1.045,1.72,7.476651952689999
507,4.1897577008899995,-1.26530007075,1.045,1.72,6.86345290968
509,7.09149027467,-1.2667738444299999,1.045,1.72,6.35514148893
511,-54.2026725709,-2.8537224760299997,1.045,1.72,5.0419238884599995
513,-49.276299541099995,-3.0543246262,1.045,1.72,4.7842268720300005
515,-43.6871732494,-4.52937351876,1.045,1.72,3.8848761482099996
517,-39.7896716734,-4.4804286627800005,1.045,1.72,3.87581244379
519,-44.2326925386,-2.91058738949,1.045,1.72,4.51600048754
521,-36.3301923631,-3.64387709005,1.045,1.72,4.007717995759999
523,-31.568114425100003,-2.77557842373,1.045,1.72,6.093370091490001
525,-33.0297166284,-2.99946110749,0.99,0.0,8.486576648489999
528,-24.1980689107,-1.54734597924,0.99,0.0,9.53290574575
530,-38.742792553899996,-2.24306281009,1.045,1.72,5.05929835556
532,-35.0271796609,-3.2987440199299995,1.045,1.72,6.15609664126
534,-28.4707087321,-2.4744476809,0.99,0.0,9.7448196073
536,6.55583105731,-1.0912805670299999,0.985,1.58,5.9147422434
538,-53.8532230521,-3.0259071510299997,0.985,1.58,4.6409960108199995
540,-43.434636500699995,-4.85685161393,0.985,1.58,4.54945065151
542,-49.0429690529,-3.4599611010300007,0.985,1.58,4.33929960033
544,-39.8324492892,-4.93840471399,0.985,1.58,4.59827225796
546,-36.2974903809,-4.31141910452,0.985,1.58,4.60269772705
548,-35.8902281293,-4.56439434405,0.985,1.58,4.5852190874300005
550,-39.2065531295,-3.7342090045,0.985,1.58,4.0135075980199995
552,-32.152200830700004,-4.11690633696,0.985,1.58,4.6126196229400005
555,-32.221790432,-1.69462385799,0.985,1.58,5.411711545219999
557,-24.293075540700002,-1.38363179993,0.985,1.58,6.4566734299599995
559,-24.2159757469,-1.01694206879,0.985,1.58,6.771914742080001
561,-0.7050845845129999,-3.7208629221900003,0.82,1.39,4.71648681107
565,3.0086590063800003,-1.37911961489,0.82,1.39,7.36094741604
567,3.1145962717799995,-1.15592410764,0.82,1.39,7.33636680875
569,-53.920242995500004,-3.13034391012,0.82,1.39,5.6517538985
571,7.006501520980001,-1.2524616852500001,0.82,1.39,7.132006433560001
573,-43.4954185841,-4.743342156040001,0.82,1.39,4.98620487598
575,-49.0619779847,-3.4806659284400006,0.82,1.39,5.315947978550001
577,-39.6288464293,-4.619436636240001,0.82,1.39,5.07089232202
579,-36.3331408314,-4.14102138442,0.82,1.39,5.074166980219999
581,-24.40500909,-0.9664250579610001,1.07,1.55,7.05085487106
583,-0.985089846149,-3.8819910724800004,0.985,1.58,4.21835053744
585,2.13295620608,-1.50479851883,0.985,1.58,6.304021070169999
587,1.3230628011499999,-2.0738188469599996,0.985,1.58,5.05845326397
589,3.1869625824699996,-1.07341668034,0.985,1.58,6.634238894249999
591,2.97714983453,-1.25129525583,0.985,1.58,6.32214016934
593,-24.1732147628,-1.07411910796,1.045,1.72,7.11130879842
595,-27.6949253402,-1.1803278076200001,1.045,1.72,7.03516541756
597,-32.0591542485,-1.49042159926,1.045,1.72,6.4584772182500005
599,-24.3242230025,-0.8503311847660001,1.045,1.72,7.7393881453799995
601,-0.40579746004100004,-4.11179280523,0.99,0.0,8.11349211898
603,1.8243921123,-2.73063540545,0.99,0.0,9.10619446488
605,0.349894654484,-3.904175467,0.99,0.0,6.65517162714
607,3.54540753631,-1.5441144790099999,0.99,0.0,9.10199157756
609,2.9666337702999996,-2.15840491636,0.99,0.0,7.452740433350001
610,-53.8006978935,-3.9221128788699997,0.99,0.0,6.03174881345
613,-43.43376665979999,-5.0131306505,0.99,0.0,4.87046689151
616,-48.3509476123,-4.060334910869999,0.99,0.0,6.138266359909999
617,-48.3509476123,-4.060334910869999,0.99,0.0,6.138266359909999
619,-39.7298886718,-5.07579475184,0.99,0.0,5.13141899315
621,-36.2804649187,-4.359609947780001,0.99,0.0,5.2989380415800005
623,-44.0628577172,-4.0517227594300005,0.99,0.0,5.5372951087
625,6.5514670635800005,-2.2553177391,0.99,0.0,7.13630591125
627,-35.5673469558,-4.63506496651,0.99,0.0,6.6808014804499996
629,-31.9544367831,-4.12641037705,0.99,0.0,6.306552547869999
631,-39.1135123982,-3.9235199297500003,0.99,0.0,6.12135322173
633,-44.1087899737,-2.7146243594599997,1.015,1.96,3.76264255449
635,-39.820151667,-3.7708430125,1.015,1.96,2.65023851501
637,-24.1819034931,-0.6909610930050001,0.76,1.87,7.297739146639999
639,-32.259772006999995,-1.52946508027,0.76,1.87,6.41127220223
641,-24.2174089761,-0.621438940033,0.76,1.87,7.4855684060600005
643,-44.20342745479999,-3.6784658017400003,0.985,1.58,4.1356186279300005
645,2.39308973866,-1.8627669571799998,1.045,1.72,5.8809631721
647,-0.0706701573289,-3.1724062714200003,1.07,1.55,5.23542547651
649,2.6932816559400004,-1.4065919391,1.07,1.55,6.4731145332099995
651,1.7315207606799998,-1.9520213638599997,1.07,1.55,5.53430287617
653,4.12407787508,-0.9663393413160001,1.07,1.55,6.9256889922000004
655,3.70715797764,-1.22360820751,1.07,1.55,6.4630241240499995
657,6.94858059909,-1.11131686377,1.07,1.55,6.05065866053
659,-53.8432691859,-2.85217404341,1.07,1.55,5.08966884136
661,-43.4505889596,-4.20377067006,1.07,1.55,5.50440609654
663,-48.9848107538,-3.13163847684,1.07,1.55,5.12972214181
665,-39.679874560100004,-4.13355556773,1.07,1.55,4.9385080194699995
667,-36.2509467654,-3.57695872714,1.07,1.55,4.93507488981
669,-44.193384145500005,-3.2620785594200004,1.07,1.55,5.583035861290001
671,-35.513348492199995,-3.61731904232,1.07,1.55,5.507022266310001
673,-32.086149636,-3.32185424769,1.07,1.55,5.68296894131
675,-39.2700777979,-3.24256515482,1.07,1.55,5.75658011787
677,-27.93940099,-1.3631322815399998,1.07,1.55,6.7099321416199995
679,-24.4172280433,-1.29119345193,1.07,1.55,6.81576675263
681,-32.3388818066,-1.62482516722,1.07,1.55,5.9598478435599995
683,5.814886513539999,-0.764047369167,0.72,2.11,7.06710733526
685,8.6666466162,-0.8753288715,0.72,2.11,6.8878671256100015
687,6.23583608653,-0.755218297226,0.72,2.11,7.132705645689999
689,-53.781675800900004,-2.87475180625,0.72,2.11,5.404932101109999
691,-48.9328936098,-3.2567083356200004,0.72,2.11,4.9135825044
693,-43.282325773400004,-4.58194275162,0.72,2.11,4.03161987174
695,-44.162071802700005,-3.57056839797,0.72,2.11,4.4124939213
697,-36.1768266404,-4.164613942830001,0.72,2.11,4.27617469536
699,-39.654703962199996,-4.63133664352,0.72,2.11,3.85133117111
701,-35.7867104074,-4.31237172413,0.72,2.11,3.87564911672
703,-39.2540992963,-3.77057716231,0.72,2.11,4.06229671946
705,-32.171543926700004,-4.01259484727,0.72,2.11,4.42630871062
707,-28.3951280112,-1.6491547102000002,0.72,2.11,6.708631357409999
709,-25.2230053635,-1.8859006576800001,0.72,2.11,6.75321777333
711,-33.0860541165,-2.37613771545,0.72,2.11,6.18192479803
713,2.2938997495099995,-1.8598538219599998,1.015,1.96,4.87583787949
715,-24.117732090900002,-0.564086729161,0.72,2.11,7.33583094734
717,3.6448665102699995,-1.9248640803900001,1.015,1.96,4.485719028459999
719,6.63455422724,-0.619012212402,1.015,1.96,6.66842871888
721,4.77179721548,-1.13321166687,1.015,1.96,5.0343740196599995
723,-53.723187816999996,-2.47984179431,1.015,1.96,4.3449185652199995
725,6.69623214077,-0.77853104675,1.015,1.96,6.09108884936
727,8.353647728250001,-0.9559399625939999,1.015,1.96,5.61101673673
729,-48.916628585,-2.71083288903,1.015,1.96,4.03805270677
731,-43.505235456,-3.7841722388699996,1.015,1.96,2.72798648883
733,-35.9303186029,-4.56085095846,0.88,2.17,3.65899344701
735,-36.2162942012,-4.264388984130001,0.88,2.17,3.1940576289599996
737,-32.1281801591,-4.17531299286,0.88,2.17,3.22476559836
